Departamento 	Municipio 	casos
Bolívar	El Carmen de Bolívar	24
Bolívar	El Peñón	1
Bolívar	Magangué	49
Bolívar	Mahates	1
Bolívar	María la Baja	1
Bolívar	Mompós	4
Bolívar	Morales	1
Bolívar	Norosí	1
Bolívar	Pinillos	2
Bolívar	Río Viejo	2
Bolívar	San Cristóbal	1
Bolívar	San Jacinto	3
Bolívar	San Juan Nepomuceno	3
Bolívar	San Martín de Loba	1
Bolívar	San Pablo	3
Bolívar	Santa Rosa	3
Bolívar	Santa Rosa del Sur	1
Bolívar	Simití	1
Bolívar	Talaigua Nuevo	1
Bolívar	Tiquisio	2
Bolívar	Turbaco	17
Bolívar	Turbaná	1
Bolívar	Villanueva	2
Bolívar	Zambrano	2
Boyacá	Total	405
Boyacá	Almeida	1
Boyacá	Aquitania	4
Boyacá	Arcabuco	5
Boyacá	Boyacá	1
Boyacá	Caldas	1
Boyacá	Cerinza	3
Boyacá	Chiquinquirá	42
Boyacá	Chiscas	1
Boyacá	Chivor	1
Boyacá	Cómbita	2
Boyacá	Cucaita	2
Boyacá	Duitama	49
Boyacá	Gámeza	1
Boyacá	Garagoa	9
Boyacá	Guateque	3
Boyacá	Jericó	2
Boyacá	Macanal	1
Boyacá	Maripí	1
Boyacá	Miraflores	4
Boyacá	Moniquirá	6
Boyacá	Nobsa	1
Boyacá	Pachavita	2
Boyacá	Paipa	7
Boyacá	Pesca	2
Boyacá	Pisba	1
Boyacá	Puerto Boyacá	23
Boyacá	Quípama	1
Boyacá	Ramiriquí	3
Boyacá	Rondón	1
Boyacá	Samacá	4
Boyacá	San José de Pare	1
Boyacá	San Luis de Gaceno	1
Boyacá	Santa María	2
Boyacá	Santa Rosa de Viterbo	9
Boyacá	Santa Sofía	1
Boyacá	Santana	1
Boyacá	Siachoque	7
Boyacá	Soatá	1
Boyacá	Socha	3
Boyacá	Socotá	1
Boyacá	Sogamoso	39
Boyacá	Sora	1
Boyacá	Soracá	12
Boyacá	Sutamarchán	2
Boyacá	Tibasosa	1
Boyacá	Tinjacá	1
Boyacá	Togüí	2
Boyacá	Tópaga	2
Boyacá	Tunja	128
Boyacá	Tuta	2
Boyacá	Tutazá	2
Boyacá	Ventaquemada	1
Boyacá	Villa de Leyva	1
Caldas	Total	383
Caldas	Aguadas	5
Caldas	Anserma	17
Caldas	Aranzazu	3
Caldas	Belalcázar	3
Caldas	Chinchiná	36
Caldas	La Dorada	18
Caldas	La Merced	2
Caldas	Manizales	247
Caldas	Marmato	1
Caldas	Neira	4
Caldas	Norcasia	1
Caldas	Palestina	12
Caldas	Riosucio	6
Caldas	Risaralda	1
Caldas	Salamina	3
Caldas	Samaná	1
Caldas	Supía	3
Caldas	Villamaría	18
Caldas	Viterbo	2
Caquetá	Total	150
Caquetá	Albania	1
Caquetá	Belén de los Andaquíes	1
Caquetá	Cartagena del Chairá	3
Caquetá	Curillo	1
Caquetá	El Paujíl	2
Caquetá	Florencia	127
Caquetá	La Montañita	2
Caquetá	Morelia	1
Caquetá	Puerto Rico	6
Caquetá	San José del Fragua	2
Caquetá	San Vicente del Caguán	4
Casanare	Casanare	194
Casanare	Aguazul	18
Casanare	Hato Corozal	4
Casanare	La Salina	2
Casanare	Maní	7
Casanare	Monterrey	13
Casanare	Nunchía	2
Casanare	Orocué	2
Casanare	Paz de Ariporo	9
Casanare	San Luis de Palenque	2
Casanare	Támara	2
Casanare	Tauramena	5
Casanare	Trinidad	3
Casanare	Yopal	125
Cauca	Total	381
Cauca	Almaguer	1
Cauca	Bolívar	2
Cauca	Buenos Aires	1
Cauca	Cajibío	2
Cauca	Caldono	6
Cauca	Caloto	3
Cauca	Corinto	3
Cauca	El Tambo	1
Cauca	La Sierra	1
Cauca	López de Micay	1
Cauca	Mercaderes	2
Cauca	Miranda	1
Cauca	Morales	1
Cauca	Patía	3
Cauca	Piendamó	1
Cauca	Popayán	295
Cauca	Puerto Tejada	14
Cauca	Puracé	9
Cauca	Santander de Quilichao	26
Cauca	Sotara	1
Cauca	Timbío	6
Cauca	Villa Rica	1
Cesar	Total	502
Cesar	Aguachica	64
Cesar	Agustín Codazzi	17
Cesar	Astrea	4
Cesar	Becerril	2
Cesar	Bosconia	19
Cesar	Chiriguaná	12
Cesar	Curumaní	13
Cesar	El Copey	1
Cesar	El Paso	1
Cesar	Gamarra	1
Cesar	La Gloria	5
Cesar	La Jagua de Ibirico	5
Cesar	La Paz	5
Cesar	Manaure Balcón del Cesar	5
Cesar	Pailitas	2
Cesar	Pelaya	4
Cesar	Río de Oro	5
Cesar	San Alberto	4
Cesar	San Diego	3
Cesar	San Martín	5
Cesar	Valledupar	325
Choco	Total	135
Choco	Atrato	1
Choco	Bagadó	1
Choco	Bahía Solano	1
Choco	Condoto	4
Choco	El Carmen de Atrato	2
Choco	Istmina	2
Choco	Lloró	4
Choco	Medio Baudó	1
Choco	Quibdó	110
Choco	Río Quito	1
Choco	Riosucio	1
Choco	Sipí	2
Choco	Tadó	2
Choco	Unión Panamericana	3
Cordoba	Total	161
Cordoba	Canalete	2
Cordoba	Cereté	5
Cordoba	Chinú	1
Cordoba	Ciénaga de Oro	3
Cordoba	Cotorra	1
Cordoba	La Apartada	1
Cordoba	Lorica	22
Cordoba	Momil	1
Cordoba	Montelíbano	16
Cordoba	Montería	85
Cordoba	Planeta Rica	2
Cordoba	Pueblo Nuevo	4
Cordoba	Puerto Libertador	1
Cordoba	Purísima de la Concepción	1
Cordoba	Sahagún	2
Cordoba	San Andrés de Sotavento	1
Cordoba	San Antero	4
Cordoba	San Carlos	2
Cordoba	San José de Uré	3
Cordoba	San Pelayo	4
Cundinamarca	Total	1,11
Cundinamarca	Agua de Dios	1
Cundinamarca	Anapoima	4
Cundinamarca	Anolaima	2
Cundinamarca	Arbeláez	1
Cundinamarca	Bituima	1
Cundinamarca	Bojacá	3
Cundinamarca	Cabrera	4
Cundinamarca	Cajicá	12
Cundinamarca	Caparrapí	1
Cundinamarca	Cáqueza	15
Cundinamarca	Carmen de Carupa	3
Cundinamarca	Chaguaní	1
Cundinamarca	Chía	52
Cundinamarca	Chipaque	5
Cundinamarca	Choachí	1
Cundinamarca	Chocontá	6
Cundinamarca	Cogua	6
Cundinamarca	Cota	2
Cundinamarca	El Colegio	9
Cundinamarca	El Rosal	2
Cundinamarca	Facatativá	135
Cundinamarca	Fómeque	1
Cundinamarca	Fosca	6
Cundinamarca	Funza	7
Cundinamarca	Fúquene	3
Cundinamarca	Fusagasugá	85
Cundinamarca	Gachancipá	10
Cundinamarca	Gama	1
Cundinamarca	Girardot	94
Cundinamarca	Granada	2
Cundinamarca	Guachetá	8
Cundinamarca	Guaduas	6
Cundinamarca	Guasca	1
Cundinamarca	Guayabetal	1
Cundinamarca	La Calera	2
Cundinamarca	La Mesa	5
Cundinamarca	La Vega	8
Cundinamarca	Lenguazaque	1
Cundinamarca	Madrid	33
Cundinamarca	Medina	4
Cundinamarca	Mosquera	6
Cundinamarca	Nemocón	3
Cundinamarca	Nilo	7
Cundinamarca	Nimaima	3
Cundinamarca	Nocaima	1
Cundinamarca	Pacho	7
Cundinamarca	Paratebueno	6
Cundinamarca	Pasca	5
Cundinamarca	Puerto Salgar	1
Cundinamarca	Pulí	1
Cundinamarca	Quebradanegra	2
Cundinamarca	Quetame	1
Cundinamarca	Quipile	2
Cundinamarca	Ricaurte	10
Cundinamarca	San Bernardo	2
Cundinamarca	San Francisco	2
Cundinamarca	San Juan de Rioseco	1
Cundinamarca	Sasaima	2
Cundinamarca	Sesquilé	7
Cundinamarca	Sibaté	13
Cundinamarca	Silvania	12
Cundinamarca	Simijaca	1
Cundinamarca	Soacha	321
Cundinamarca	Sopó	1
Cundinamarca	Subachoque	3
Cundinamarca	Suesca	3
Cundinamarca	Sutatausa	1
Cundinamarca	Tausa	1
Cundinamarca	Tena	4
Cundinamarca	Tenjo	3
Cundinamarca	Tibacuy	7
Cundinamarca	Tibirita	3
Cundinamarca	Tocaima	22
Cundinamarca	Tocancipá	1
Cundinamarca	Ubaque	1
Cundinamarca	Une	3
Cundinamarca	Útica	5
Cundinamarca	Venecia	1
Cundinamarca	Vergara	1
Cundinamarca	Villa de San Diego de Ubaté	20
Cundinamarca	Villapinzón	1
Cundinamarca	Villeta	24
Cundinamarca	Viotá	1
Cundinamarca	Zipacón	4
Cundinamarca	Zipaquirá	40
Guainia	Total	26
Guainia	Barranco Minas	2
Guainia	Inírida	24
Guaviare	Total	32
Guaviare	Calamar	3
Guaviare	El Retorno	5
Guaviare	Miraflores	1
Guaviare	San José del Guaviare	23
Huila	Total	843
Huila	Acevedo	7
Huila	Agrado	3
Huila	Aipe	6
Huila	Algeciras	2
Huila	Altamira	1
Huila	Baraya	5
Huila	Campoalegre	4
Huila	Colombia	3
Huila	Garzón	19
Huila	Gigante	2
Huila	Guadalupe	2
Huila	Hobo	6
Huila	Isnos	11
Huila	La Argentina	1
Huila	La Plata	16
Huila	Nátaga	3
Huila	Neiva	621
Huila	Oporapa	2
Huila	Paicol	2
Huila	Palermo	20
Huila	Pitalito	72
Huila	Rivera	11
Huila	Saladoblanco	1
Huila	San Agustín	4
Huila	Tarqui	1
Huila	Tello	2
Huila	Teruel	1
Huila	Tesalia	1
Huila	Timaná	10
Huila	Villavieja	3
Huila	Yaguará	1
La Guajira	Total	407
La Guajira	Albania	5
La Guajira	Barrancas	7
La Guajira	Dibulla	4
La Guajira	Distracción	8
La Guajira	Fonseca	20
La Guajira	Hatonuevo	6
La Guajira	Maicao	147
La Guajira	Manaure	2
La Guajira	Riohacha	186
La Guajira	San Juan del Cesar	14
La Guajira	Uribia	6
La Guajira	Villanueva	2
Magdalena	Total	588
Magdalena	Algarrobo	1
Magdalena	Aracataca	9
Magdalena	Ariguaní	1
Magdalena	Chivolo	4
Magdalena	Ciénaga	40
Magdalena	Concordia	1
Magdalena	El Banco	18
Magdalena	Fundación	31
Magdalena	Guamal	1
Magdalena	Nueva Granada	3
Magdalena	Plato	23
Magdalena	Puebloviejo	7
Magdalena	Sabanas de San Ángel	4
Magdalena	Salamina	1
Magdalena	San Sebastián de Buenavista	1
Magdalena	Santa Bárbara de Pinto	1
Magdalena	Santa Marta	428
Magdalena	Sitionuevo	4
Magdalena	Zona Bananera	10
Meta	Total	553
Meta	Acacías	28
Meta	Barranca de Upía	3
Meta	Castilla la Nueva	3
Meta	Cumaral	10
Meta	Fuente de Oro	2
Meta	Granada	11
Meta	Guamal	2
Meta	La Macarena	3
Meta	Lejanías	3
Meta	Mapiripán	3
Meta	Mesetas	1
Meta	Puerto Concordia	1
Meta	Puerto Gaitán	3
Meta	Puerto Lleras	2
Meta	Puerto López	23
Meta	Puerto Rico	1
Meta	Restrepo	2
Meta	San Carlos de Guaroa	1
Meta	San Juan de Arama	2
Meta	San Martín	5
Meta	Uribe	1
Meta	Villavicencio	442
Meta	Vistahermosa	1
Narino	Total	779
Narino	Aldana	2
Narino	Ancuyá	1
Narino	Barbacoas	4
Narino	Belén	1
Narino	Buesaco	10
Narino	Chachagüí	9
Narino	Contadero	1
Narino	Córdoba	2
Narino	Cuaspúd	1
Narino	Cumbal	1
Narino	Cumbitara	1
Narino	El Charco	3
Narino	El Peñol	1
Narino	El Rosario	2
Narino	El Tambo	2
Narino	Francisco Pizarro	2
Narino	Guachucal	1
Narino	Guaitarilla	1
Narino	Gualmatán	1
Narino	Imués	2
Narino	Ipiales	41
Narino	La Cruz	2
Narino	La Unión	1
Narino	Leiva	1
Narino	Los Andes	4
Narino	Magüí	1
Narino	Mosquera	3
Narino	Nariño	3
Narino	Pasto	529
Narino	Policarpa	2
Narino	Potosí	2
Narino	Puerres	5
Narino	Pupiales	1
Narino	Ricaurte	2
Narino	Samaniego	2
Narino	San Andrés de Tumaco	99
Narino	Sandoná	3
Narino	Santacruz	1
Narino	Sapuyes	3
Narino	Taminango	5
Narino	Tangua	6
Narino	Túquerres	12
Narino	Yacuanquer	3
Norte de Santander	Total	651
Norte de Santander	Ábrego	10
Norte de Santander	Bochalema	2
Norte de Santander	Chinácota	7
Norte de Santander	Cúcuta	401
Norte de Santander	El Tarra	1
Norte de Santander	El Zulia	14
Norte de Santander	Gramalote	4
Norte de Santander	Hacarí	3
Norte de Santander	La Esperanza	1
Norte de Santander	Los Patios	37
Norte de Santander	Mutiscua	1
Norte de Santander	Ocaña	58
Norte de Santander	Pamplona	26
Norte de Santander	Puerto Santander	6
Norte de Santander	Ragonvalia	1
Norte de Santander	Salazar	6
Norte de Santander	San Cayetano	4
Norte de Santander	Sardinata	3
Norte de Santander	Teorama	1
Norte de Santander	Tibú	19
Norte de Santander	Villa del Rosario	46
Putumayo	Total	141
Putumayo	Mocoa	65
Putumayo	Orito	9
Putumayo	Puerto Asís	36
Putumayo	Puerto Caicedo	5
Putumayo	Puerto Guzmán	1
Putumayo	Puerto Leguízamo	10
Putumayo	San Miguel	4
Putumayo	Sibundoy	1
Putumayo	Valle del Guamuez	6
Putumayo	Villagarzón	4
Quindío	Total	312
Quindío	Armenia	172
Quindío	Buenavista	4
Quindío	Calarcá	38
Quindío	Circasia	4
Quindío	Córdoba	7
Quindío	Filandia	3
Quindío	Génova	1
Quindío	La Tebaida	21
Quindío	Montenegro	27
Quindío	Quimbaya	34
Quindío	Salento	1
Risaralda	Total	318
Risaralda	Apía	7
Risaralda	Belén de Umbría	2
Risaralda	Dosquebradas	64
Risaralda	Guática	2
Risaralda	La Virginia	16
Risaralda	Marsella	6
Risaralda	Mistrató	3
Risaralda	Pereira	179
Risaralda	Pueblo Rico	6
Risaralda	Quinchía	1
Risaralda	Santa Rosa de Cabal	27
Risaralda	Santuario	5
Santander	Santander	1875
Santander	Aratoca	4
Santander	Barbosa	38
Santander	Barrancabermeja	85
Santander	Bucaramanga	933
Santander	Capitanejo	2
Santander	Cerrito	2
Santander	Charalá	3
Santander	Charta	3
Santander	Chima	1
Santander	Cimitarra	10
Santander	Contratación	2
Santander	Coromoro	1
Santander	Curití	3
Santander	El Carmen de Chucurí	3
Santander	El Playón	6
Santander	Florián	3
Santander	Floridablanca	243
Santander	Gámbita	1
Santander	Girón	196
Santander	Guaca	3
Santander	Guapotá	2
Santander	Güepsa	9
Santander	La Belleza	1
Santander	La Paz	2
Santander	Lebrija	15
Santander	Los Santos	4
Santander	Málaga	3
Santander	Matanza	9
Santander	Mogotes	7
Santander	Oiba	1
Santander	Páramo	7
Santander	Piedecuesta	121
Santander	Puente Nacional	1
Santander	Puerto Parra	6
Santander	Puerto Wilches	21
Santander	Rionegro	3
Santander	Sabana de Torres	13
Santander	San Andrés	5
Santander	San Gil	60
Santander	San Vicente de Chucurí	5
Santander	Simacota	1
Santander	Suaita	9
Santander	Suratá	3
Santander	Tona	4
Santander	Valle de San José	1
Santander	Vélez	14
Santander	Villanueva	2
Santander	Zapatoca	4
Sucre	Total	304
Sucre	Coloso	1
Sucre	Corozal	28
Sucre	Coveñas	3
Sucre	El Roble	1
Sucre	Galeras	6
Sucre	La Unión	1
Sucre	Los Palmitos	3
Sucre	Majagual	2
Sucre	Morroa	2
Sucre	Ovejas	5
Sucre	Palmito	3
Sucre	Sampués	12
Sucre	San Juan de Betulia	2
Sucre	San Luis de Sincé	7
Sucre	San Marcos	1
Sucre	San Onofre	4
Sucre	San Pedro	1
Sucre	Santiago de Tolú	16
Sucre	Sincelejo	205
Sucre	Tolú Viejo	1
Tolima	Total	674
Tolima	Alvarado	2
Tolima	Ambalema	2
Tolima	Armero Guayabal	4
Tolima	Ataco	2
Tolima	Cajamarca	5
Tolima	Carmen de Apicalá	2
Tolima	Chaparral	29
Tolima	Coello	3
Tolima	Coyaima	5
Tolima	Dolores	2
Tolima	Espinal	38
Tolima	Falan	2
Tolima	Flandes	21
Tolima	Fresno	3
Tolima	Guamo	12
Tolima	Herveo	1
Tolima	Honda	24
Tolima	Ibagué	373
Tolima	Lérida	8
Tolima	Líbano	17
Tolima	Melgar	22
Tolima	Murillo	6
Tolima	Natagaima	2
Tolima	Ortega	6
Tolima	Palocabildo	1
Tolima	Piedras	8
Tolima	Planadas	6
Tolima	Purificación	3
Tolima	Rioblanco	5
Tolima	Rovira	3
Tolima	Saldaña	5
Tolima	San Antonio	7
Tolima	San Luis	13
Tolima	San Sebastián de Mariquita	28
Tolima	Santa Isabel	1
Tolima	Valle de San Juan	1
Tolima	Venadillo	1
Tolima	Villahermosa	1
Valle del Cauca	Total	1869
Valle del Cauca	Andalucía	4
Valle del Cauca	Ansermanuevo	5
Valle del Cauca	Bolívar	6
Valle del Cauca	Buenaventura	78
Valle del Cauca	Bugalagrande	3
Valle del Cauca	Caicedonia	8
Valle del Cauca	Cali	1196
Valle del Cauca	Candelaria	23
Valle del Cauca	Cartago	15
Valle del Cauca	Dagua	11
Valle del Cauca	El Águila	1
Valle del Cauca	El Cairo	1
Valle del Cauca	El Cerrito	16
Valle del Cauca	El Dovio	1
Valle del Cauca	Florida	17
Valle del Cauca	Ginebra	10
Valle del Cauca	Guacarí	7
Valle del Cauca	Guadalajara de Buga	57
Valle del Cauca	Jamundí	49
Valle del Cauca	La Cumbre	7
Valle del Cauca	La Unión	7
Valle del Cauca	Obando	1
Valle del Cauca	Palmira	169
Valle del Cauca	Pradera	20
Valle del Cauca	Restrepo	6
Valle del Cauca	Riofrío	5
Valle del Cauca	Roldanillo	7
Valle del Cauca	San Pedro	1
Valle del Cauca	Sevilla	21
Valle del Cauca	Toro	1
Valle del Cauca	Trujillo	6
Valle del Cauca	Tuluá	65
Valle del Cauca	Ulloa	1
Valle del Cauca	Vijes	3
Valle del Cauca	Yotoco	5
Valle del Cauca	Yumbo	25
Valle del Cauca	Zarzal	11
Vichada	Total	2
Vichada	La Primavera	1
Vichada	Puerto Carreño	1
Total	Total general	27319
